latitude,longitude,area
48.7545,-78.95226,16.1
49.01799,-79.37553,80.9
46.71163,-79.07153,0.8
48.18196,-78.15318,16.1
49.11121,-79.40293,20.2
48.6283,-77.9619,2.8
48.79047,-79.40302,4.0
47.5045,-78.97071,2.4
48.53148,-79.15988,161.8
48.35582,-78.13283,0.4
48.04497,-77.82123,0.4
47.95354,-78.54036,30.3
48.19365,-77.96627,2.0
48.58603,-78.1422,0.4
47.52608,-79.21404,1.2
47.44275,-79.06206,1.2
48.78327,-78.78556,0.8
48.34952,-77.3896,4.8
48.18825,-77.38699,3.2
48.19365,-77.63699,1.2
48.36031,-77.22293,1.6
48.60312,-77.81837,0.8
48.20084,-78.36944,0.8
48.10132,-77.82256,0.6
48.83963,-78.71584,6.0
48.34053,-78.13825,1.2
48.61931,-78.65306,0.8
48.53148,-78.29123,20.2
48.60132,-78.14627,1.6
48.61931,-78.22959,1.2
49.0036,-77.07237,2.4
49.02248,-76.95886,1.6
47.54227,-78.55802,20.2
49.03597,-79.29355,14.1
49.04497,-79.13236,1.6
48.36031,-78.11794,4.8
48.35941,-78.12065,2.8
48.59322,-78.48504,8.0
48.34412,-78.13961,4.4
48.3747,-77.22563,1.6
48.3774,-77.31302,1.2
48.71613,-78.87986,0.8
48.46613,-78.03586,0.8
48.7554,-77.45635,0.8
48.1283,-79.46227,0.4
48.83333,-78.90164,4.0
48.53777,-77.97012,1.2
48.18196,-77.45684,24.2
48.34053,-77.31168,0.8
48.70714,-79.21457,60.7
48.83783,-78.80054,0.8
48.21433,-77.66667,0.4
48.6319,-77.11768,1.6
48.58603,-77.47417,8.0
48.67026,-77.48366,258.9
48.84952,-77.1612,2.8
48.18465,-77.37755,4.0
48.08963,-78.14782,0.4
48.60132,-79.37043,6.0
48.86391,-79.18028,10.1
47.52338,-78.63337,4046.8
47.79137,-78.39525,1835.6
48.25899,-78.04416,0.8
48.20714,-78.95277,0.4
48.36031,-79.05626,0.4
46.70444,-79.1247,4.0
46.6229,-79.03619,10.5
48.95624,-79.0669,6.0
48.61931,-79.30612,4.0
48.79766,-78.89892,12.1
48.79946,-78.78691,3.2
48.6265,-79.15986,4.0
48.61751,-79.12586,4.0
48.29946,-77.06306,4117.6
49.3738,-76.7919,394.5
48.36751,-78.13147,227.4
48.45264,-78.21339,9.7
48.70624,-77.86761,80.9
48.54047,-78.05752,1.2
48.42116,-77.95935,50.5
48.34772,-78.21617,14.1
48.95624,-79.44933,10.9
49.02338,-79.13924,2.0
48.94814,-79.21577,50.1
48.91846,-79.0587,4.0
48.61931,-79.15306,2.4
48.5036,-79.13409,20.2
47.28238,-79.23542,3.2
47.52518,-79.23269,0.4
47.50719,-79.15868,0.8
47.5018,-79.49734,7.2
47.51169,-79.15735,0.8
48.83963,-78.79371,40.4
48.84862,-79.20217,20.2
48.19994,-77.40452,323.7
48.09412,-77.70153,24.2
48.08873,-77.57525,32.3
48.34592,-77.30762,2.0
48.54676,-77.64086,0.4
48.69275,-77.74183,64.7
48.68915,-77.70096,26.3
48.67296,-79.14624,1.6
48.84772,-79.15163,12.1
52.29227,-77.07892,3625.9
48.33783,-78.79275,3.2
47.94185,-79.28903,0.4
48.21253,-78.24595,0.4
47.95804,-79.24731,1.2
48.03597,-79.15725,1.2
47.61931,-79.38064,161.8
48.83873,-79.39207,0.4
47.7509,-79.2393,18.2
48.86301,-79.48496,4.0
47.77248,-79.29319,37.2
48.35222,-78.88013,0.4
47.76169,-79.45585,10.1
48.11481,-79.29023,4.0
46.86571,-79.22764,0.8
47.19365,-78.62961,0.4
48.20983,-79.15317,4.8
48.02698,-79.28627,40.4
47.69724,-79.24065,0.4
48.53867,-77.64629,0.8
48.45534,-77.63683,0.4
48.34592,-79.04003,4.0
49.27518,-79.39599,0.8
48.42566,-78.97289,0.4
48.76349,-79.47953,1.6
49.76619,-77.65274,0.4
49.70983,-77.78744,2.0
48.95983,-79.45617,0.4
48.45174,-78.95932,0.8
48.84862,-79.47403,0.4
48.30036,-76.97296,0.4
48.36571,-78.81303,0.4
48.58603,-77.47281,0.8
48.19634,-79.08064,202.3
49.21343,-78.04203,0.2
51.35582,-77.7428,0.4
52.17026,-77.78934,3625.9
48.08423,-79.22577,2.0
48.6229,-78.55612,1.2
51.34233,-78.72121,776.9
51.36121,-77.96399,517.9
51.35762,-77.78869,1052.1
50.68645,-77.66099,242.8
48.5063,-78.65716,3.2
48.67476,-78.23638,1.2
48.61661,-78.38402,2.4
48.51259,-77.72149,0.4
48.69275,-77.71458,1.2
48.54946,-77.5385,0.8
48.85132,-79.403,0.4
48.44185,-78.90989,0.4
48.36481,-78.82657,1.2
51.03597,-78.64521,526.0
48.18016,-77.88699,0.4
48.00719,-79.16667,0.4
47.60672,-79.48666,0.4
48.85582,-79.36883,0.4
49.09682,-75.5696,0.8
49.21433,-75.38638,0.8
51.28148,-76.72124,1553.9
49.25899,-76.15978,0.8
47.77428,-78.55523,1.2
49.10582,-75.89331,0.4
51.95264,-77.49124,776.9
51.54047,-77.45662,655.5
51.46073,-77.40656,776.9
48.67836,-77.4891,0.4
47.33963,-78.74204,10.1
49.1301,-75.38918,0.3
51.20444,-77.48852,582.7
49.10132,-75.57372,33.1
47.34143,-79.38083,6.4
48.36751,-78.72022,0.4
49.1265,-75.46564,0.2
50.86031,-78.32763,40.4
48.33423,-76.99729,0.4
47.92026,-77.24463,1.6
49.67296,-75.98054,0.1
48.21343,-76.74055,0.4
48.77428,-79.05468,0.4
49.33603,-79.28503,0.4
48.6211,-79.03572,0.4
48.53327,-79.22963,1.2
48.43285,-77.71476,0.4
49.36481,-76.54605,0.1
48.44365,-79.07655,0.2
48.34412,-77.20129,0.4
48.6328,-79.04659,1.2
48.54407,-79.31567,0.4
48.71073,-77.81698,0.4
52.08783,-77.22951,0.4
48.60672,-77.48232,0.2
48.61211,-79.38946,0.4
49.01889,-66.39747,0.2
47.56835,-68.996,2.1
48.95983,-65.47398,0.3
48.8792,-64.37974,0.1
47.55486,-69.12136,2.7
47.69095,-69.06196,0.5
47.631,-69.13064,1.4
48.33274,-68.85579,1.9
47.52068,-69.12139,1.0
47.97872,-66.96373,0.2
47.06115,-69.96172,0.5
48.11121,-67.87761,0.8
48.46163,-68.3252,0.1
48.6283,-67.6449,0.1
47.1211,-70.06483,0.4
48.86931,-65.27454,0.1
48.34233,-64.85984,0.3
48.72422,-67.39485,1.6
46.20714,-71.77226,0.3
46.32195,-71.89844,0.1
45.3783,-71.97055,1.2
45.53867,-71.79995,0.4
45.80216,-71.6628,1.2
45.40438,-72.00136,0.2
45.33873,-71.82949,0.2
45.53058,-71.63329,0.4
45.59502,-71.9141,0.8
45.93555,-71.98707,0.8
45.82644,-71.91667,0.1
45.53327,-71.632,4.0
45.55036,-71.61658,0.4
46.71883,-71.27693,1.0
45.3756,-70.95647,0.8
45.70893,-70.76508,0.2
45.44724,-71.95513,0.2
45.44724,-71.95257,1.0
45.95534,-70.44826,0.4
45.94544,-72.70603,4.0
46.20534,-70.4974,0.3
45.95264,-72.7099,0.8
45.84053,-71.42255,0.2
45.93735,-70.45862,0.8
45.94814,-72.27772,0.2
45.79317,-72.41022,0.8
45.79047,-72.40635,4.5
45.54047,-73.14869,2.4
46.90168,-71.78463,0.7
46.59502,-72.60385,0.2
47.35672,-72.77359,0.2
47.58004,-70.538,0.4
48.28507,-70.8009,0.8
46.8783,-71.74737,0.4
47.10941,-72.26066,5.7
47.09772,-72.60986,0.1
46.68555,-73.49345,0.2
48.11211,-70.87087,0.4
47.65168,-73.10259,0.3
48.72422,-74.88531,0.9
47.15708,-72.28043,2.2
47.91667,-74.10226,0.9
48.30216,-70.95268,0.2
48.09053,-69.79429,0.4
48.03327,-69.81182,1.8
47.75899,-69.95452,0.6
48.07374,-69.7943,0.1
48.07644,-69.7943,0.3
48.08094,-69.7916,0.5
48.08004,-69.7916,0.2
48.15708,-69.79424,0.1
48.06115,-69.80104,0.1
46.68825,-72.74607,0.4
46.4994,-73.72648,0.2
46.97332,-71.54248,1.9
46.26619,-73.34382,0.3
46.89269,-71.93025,3.3
46.30036,-73.10028,0.1
49.08094,-68.4849,0.9
50.65888,-68.8305,3.3
50.29317,-66.20636,0.8
50.21703,-66.30382,10.1
51.45174,-63.7298,10.7
49.35402,-68.30434,0.3
49.29946,-68.56954,0.8
50.8774,-64.19441,93.0
49.33603,-68.29331,0.4
49.73591,-68.57638,0.2
52.03507,-69.22953,1.1
52.31835,-68.17203,1.3
51.09772,-59.08647,38.6
52.15798,-69.20749,22.2
52.10761,-69.0028,52.0
50.52878,-61.5607,2.0
50.0045,-67.93284,843.0
