Date,Latitude,Longtitude,vNDVI,VARI,Area
1972-07-10,50.83963,-63.24858,0.15993479,0.23009661,4.8
1972-07-09,51.75809,-62.94915,0.060894847,0.08760292,210.4
1972-07-09,51.79317,-61.33042,0.11335793,0.16479065,728.4
1972-07-10,51.29137,-66.68097,0.106788225,0.16795102,46.5
1972-07-11,51.78867,-61.71075,0.20597637,0.28919798,16.1
1972-07-15,49.45264,-70.24308,0.19056103,0.28687227,30.3
1972-07-22,48.78417,-70.16257,0.19987957,0.27404797,0.7
1972-07-25,49.44544,-68.48755,0.16774562,0.24173939,0.1
1972-07-28,52.18375,-69.81866,0.09638985,0.13301429,129.4
1972-07-28,52.26079,-68.07599,0.14060009,0.20643409,0.1
1972-07-28,52.2563,-67.90638,0.04969361,0.07912663,0.2
1972-07-28,52.20624,-68.04224,0.090739384,0.13413373,0.1
1972-07-28,51.83333,-67.55714,0.07252774,0.1181721,404.6
1972-07-28,52.36211,-67.06271,0.14868087,0.25437254,202.3
1972-07-28,52.2563,-68.06864,0.1894485,0.26877493,0.1
1972-07-28,52.26799,-68.08039,0.12067212,0.17724045,0.2
1972-07-28,52.29497,-68.23824,0.12713872,0.18153855,0.2
1972-08-17,50.02158,-66.87047,0.13422169,0.28301054,0.2
1972-07-09,51.29047,-62.56176,0.19057469,0.26853627,202.3
1972-09-09,50.26619,-66.49015,0.20373084,0.3085469,2.5
1972-05-10,48.3738,-71.36928,0.1876789,0.27443144,0.2
1972-05-10,48.51079,-70.95927,0.0374316,0.054276526,0.8
1972-05-14,48.61751,-71.38538,0.18186656,0.2624874,0.4
1972-05-14,48.6247,-71.37449,0.18018663,0.26190412,48.5
1972-05-14,48.55126,-71.47011,0.25426406,0.36817965,30.3
1972-05-14,48.42116,-70.83198,0.029150883,0.037002213,0.4
1972-05-16,48.69994,-71.72275,0.14135033,0.1928369,0.4
1972-05-17,48.86661,-71.79642,0.12747146,0.19405271,20.2
1972-05-17,48.43645,-71.55622,0.16238593,0.241112,2.4
1972-05-19,48.86931,-71.8442,0.11223223,0.17827559,0.8
1972-05-19,48.85762,-72.0724,0.10993411,0.15934055,4.8
1972-05-19,48.45893,-71.03316,0.13428535,0.19255431,3.2
1972-05-19,48.36031,-71.2995,0.07963717,0.11914828,0.1
1972-05-21,48.6301,-71.38673,0.3021631,0.44793883,64.7
1972-05-20,48.95534,-72.0532,0.13107164,0.19447401,15.5
1972-05-21,48.95624,-72.04224,0.13259059,0.19757064,10.3
1972-05-20,48.68016,-72.41394,0.08737826,0.12797017,8.9
1972-05-20,48.50899,-71.29532,0.21002807,0.31348762,2.4
1972-05-22,49.29317,-73.70725,0.20312786,0.29045385,0.4
1972-05-22,48.68915,-71.45096,0.18731058,0.27338573,121.4
1972-05-23,48.6283,-71.55612,0.1438871,0.21027653,1.6
